,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 25_level_0
601,579,Enzo Crivelli,fr FRA,FW,Angers,fr Ligue 1,22,1995,11.4,6,1,0,27,20,6,5,2,9,0,0,0,20,49,61,44.5,Matches
602,580,Enzo Crivelli,fr FRA,FW,Caen,fr Ligue 1,22,1995,8.1,2,0,0,12,11,3,1,2,2,1,0,0,13,32,38,45.7,Matches
603,581,Giovanni Crociata,it ITA,"MF,FW",Crotone,it Serie A,19,1997,3.2,0,0,0,7,7,0,3,4,6,0,0,0,18,2,3,40.0,Matches
604,582,Luca Crosta,it ITA,GK,Cagliari,it Serie A,19,1998,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,,Matches
605,583,Peter Crouch,eng ENG,FW,Stoke City,eng Premier League,36,1981,17.4,4,0,0,40,11,14,3,1,0,0,0,0,40,243,122,66.6,Matches
606,584,Juan Cruz,es ESP,FW,Málaga,es La Liga,17,2000,0.1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,,Matches
607,585,Juan Cuadrado,co COL,"FW,MF",Juventus,it Serie A,29,1988,15.0,5,0,0,11,51,3,60,19,19,0,0,0,80,10,10,50.0,Matches
608,586,Iván Cuéllar,es ESP,GK,Leganés,es La Liga,33,1984,35.0,4,0,0,0,7,0,0,3,3,0,0,0,33,11,4,73.3,Matches
609,587,Mickaël Cuisance,fr FRA,"MF,FW",M'Gladbach,de Bundesliga,17,1999,13.4,2,0,0,30,16,1,32,10,20,0,0,0,69,4,13,23.5,Matches
610,588,Josh Cullen,ie IRL,MF,West Ham,eng Premier League,21,1996,0.1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,,Matches
611,589,Patrick Cutrone,it ITA,FW,Milan,it Serie A,19,1998,16.7,3,0,0,31,18,23,14,3,10,1,0,0,36,12,49,19.7,Matches
612,590,Wylan Cyprien,fr FRA,MF,Nice,fr Ligue 1,22,1995,10.6,2,0,0,4,18,0,50,11,7,0,0,0,66,9,3,75.0,Matches
613,591,Marco D'Alessandro,it ITA,"MF,FW",Benevento,it Serie A,26,1991,11.6,1,0,0,10,26,0,26,10,22,0,0,0,59,2,6,25.0,Matches
614,592,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,28,1988,33.1,6,0,0,58,39,5,59,45,64,1,0,0,195,64,42,60.4,Matches
615,593,Damien Da Silva,fr FRA,DF,Caen,fr Ligue 1,29,1988,31.5,7,0,0,36,25,6,0,36,35,1,1,3,249,73,60,54.9,Matches
616,594,Kouadio-Yves Dabila,ci CIV,DF,Lille,fr Ligue 1,20,1997,10.5,1,0,0,14,0,0,9,10,11,0,0,0,59,15,15,50.0,Matches
617,595,Bryan Dabo,bf BFA,MF,Fiorentina,it Serie A,25,1992,6.6,2,2,1,12,8,0,4,15,11,0,0,0,58,14,5,73.7,Matches
618,596,Bryan Dabo,bf BFA,"MF,FW",Saint-Étienne,fr Ligue 1,25,1992,14.3,10,0,0,33,39,2,9,11,16,1,0,0,73,35,22,61.4,Matches
619,597,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,21,1996,12.7,4,0,0,31,8,0,6,12,23,0,0,0,80,3,11,21.4,Matches
620,598,Dario Dainelli,it ITA,DF,Chievo,it Serie A,38,1979,16.7,4,0,0,18,11,0,1,46,14,0,0,0,90,49,17,74.2,Matches
621,599,Felipe dal Belo,br BRA,DF,SPAL,it Serie A,33,1984,28.6,6,1,0,38,14,0,12,48,34,0,1,0,139,47,27,63.5,Matches
622,600,Charlie Daniels,eng ENG,"DF,MF",Bournemouth,eng Premier League,30,1986,33.4,0,0,0,7,18,0,106,31,34,0,1,0,214,43,44,49.4,Matches
623,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
624,601,Danilo,br BRA,DF,Manchester City,eng Premier League,26,1991,15.0,2,0,0,12,10,0,24,19,29,0,0,0,65,16,6,72.7,Matches
625,602,Scott Dann,eng ENG,DF,Crystal Palace,eng Premier League,30,1987,15.9,4,0,0,12,3,2,2,23,5,0,1,0,72,48,33,59.3,Matches
626,603,Kevin Danso,at AUT,DF,Augsburg,de Bundesliga,18,1998,12.3,2,0,0,18,17,0,4,20,12,0,0,0,61,30,34,46.9,Matches
627,604,Dante,br BRA,DF,Nice,fr Ligue 1,33,1983,32.4,10,1,1,27,25,1,1,47,28,0,0,1,214,62,40,60.8,Matches
628,605,Romain Danzé,fr FRA,DF,Rennes,fr Ligue 1,31,1986,7.6,2,0,0,7,1,0,18,3,7,0,0,0,31,14,9,60.9,Matches
629,606,Andrea Danzi,it ITA,MF,Hellas Verona,it Serie A,18,1999,4.4,1,0,0,6,1,0,0,5,6,0,0,0,21,3,3,50.0,Matches
630,607,Stéphane Darbion,fr FRA,"FW,MF",Troyes,fr Ligue 1,33,1984,19.0,2,0,0,15,31,5,75,20,14,1,0,0,100,12,28,30.0,Matches
631,608,Palkó Dárdai,hu HUN,"FW,MF",Hertha BSC,de Bundesliga,18,1999,0.3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0.0,Matches
632,609,Sergi Darder,es ESP,MF,Espanyol,es La Liga,23,1993,30.9,7,0,0,36,31,0,46,52,43,0,0,0,187,16,21,43.2,Matches
633,610,Sergi Darder,es ESP,MF,Lyon,fr Ligue 1,23,1993,2.3,2,1,1,4,0,0,0,3,3,0,0,0,11,4,1,80.0,Matches
634,611,Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,26,1990,18.2,2,0,0,31,37,1,22,24,28,0,1,0,101,14,25,35.9,Matches
635,612,Karl Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,26,1990,10.0,0,0,0,0,1,0,0,0,0,0,0,1,14,2,0,100.0,Matches
636,613,Matteo Darmian,it ITA,DF,Manchester Utd,eng Premier League,27,1989,4.9,0,0,0,5,1,0,6,7,14,0,0,0,17,6,6,50.0,Matches
637,614,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,24,1993,25.8,3,0,0,24,25,0,149,28,33,0,0,0,110,45,50,47.4,Matches
638,615,Tom Davies,eng ENG,MF,Everton,eng Premier League,19,1998,21.1,7,0,0,38,43,3,17,24,20,0,0,0,110,18,34,34.6,Matches
639,616,Steven Davis,nir NIR,MF,Southampton,eng Premier League,32,1985,16.9,0,0,0,8,8,3,42,15,21,1,0,0,137,14,26,35.0,Matches
640,617,Salem Al-Dawsari,sa KSA,MF,Villarreal,es La Liga,25,1991,0.4,1,0,0,1,1,1,0,0,0,0,0,0,7,0,0,,Matches
641,618,Craig Dawson,eng ENG,DF,West Brom,eng Premier League,27,1990,27.9,6,0,0,35,22,4,42,52,28,0,0,0,133,115,62,65.0,Matches
642,619,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,26,1991,34.1,2,0,0,30,33,2,248,25,43,1,0,0,207,14,16,46.7,Matches
643,620,Sebastien De Maio,fr FRA,DF,Bologna,it Serie A,30,1987,22.8,7,0,0,31,6,2,2,36,17,0,0,1,87,36,30,54.5,Matches
644,621,Rodrigo De Paul,ar ARG,"FW,MF",Udinese,it Serie A,23,1994,25.8,4,0,0,33,63,2,165,16,18,0,0,0,123,4,18,18.2,Matches
645,622,Daniele De Rossi,it ITA,MF,Roma,it Serie A,34,1983,20.3,6,1,0,26,23,0,3,43,13,0,1,0,133,28,21,57.1,Matches
646,623,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,24,1992,10.8,1,0,0,7,2,1,22,14,17,0,0,0,55,13,6,68.4,Matches
647,624,Lorenzo De Silvestri,it ITA,DF,Torino,it Serie A,29,1988,32.8,3,2,1,43,22,3,81,27,25,0,2,0,133,95,42,69.3,Matches
648,625,Lucas Deaux,fr FRA,MF,Guingamp,fr Ligue 1,28,1988,21.6,7,1,1,39,22,4,23,32,45,0,0,0,148,55,43,56.1,Matches
649,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
650,626,Mathieu Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,32,1985,14.6,1,0,0,22,13,2,51,27,25,0,1,1,82,61,28,68.5,Matches
651,627,Troy Deeney,eng ENG,FW,Watford,eng Premier League,29,1988,20.5,1,1,0,24,17,16,7,5,11,0,0,0,52,132,182,42.0,Matches
652,628,Jermain Defoe,eng ENG,FW,Bournemouth,eng Premier League,34,1982,12.1,1,0,0,12,8,9,5,4,9,0,0,0,21,2,17,10.5,Matches
653,629,Steven Defour,be BEL,MF,Burnley,eng Premier League,29,1988,22.2,6,0,0,13,7,0,35,46,22,0,0,0,156,5,12,29.4,Matches
654,630,Grégoire Defrel,mq MTQ,"FW,MF",Roma,it Serie A,26,1991,5.4,1,0,0,5,6,2,1,3,3,0,0,0,20,4,5,44.4,Matches
655,631,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,21,1995,5.0,3,0,0,7,2,1,3,4,7,0,0,0,32,2,8,20.0,Matches
656,632,Lorenzo Del Pinto,it ITA,MF,Benevento,it Serie A,27,1990,8.4,6,0,0,23,14,0,1,16,17,0,1,0,57,9,19,32.1,Matches
657,633,Damien Delaney,ie IRL,DF,Crystal Palace,eng Premier League,36,1981,1.1,0,0,0,0,0,0,0,3,1,0,0,0,6,0,4,0.0,Matches
658,634,Thomas Delaney,dk DEN,MF,Werder Bremen,de Bundesliga,25,1991,31.1,5,0,0,83,73,6,28,43,61,0,0,0,106,107,73,59.4,Matches
659,635,Jonathan Delaplace,fr FRA,MF,Caen,fr Ligue 1,31,1986,6.5,3,0,0,13,9,0,8,8,8,0,0,0,48,6,12,33.3,Matches
660,636,Cristian Dell'Orco,it ITA,DF,Sassuolo,it Serie A,23,1994,4.7,0,0,0,4,5,0,0,10,1,0,0,0,27,7,6,53.8,Matches
661,637,Andy Delort,dz ALG,FW,Toulouse,fr Ligue 1,25,1991,25.9,5,0,0,70,31,29,112,12,13,0,2,0,60,98,100,49.5,Matches
662,638,Fabian Delph,eng ENG,DF,Manchester City,eng Premier League,27,1989,19.3,2,0,0,15,18,0,13,30,34,0,0,0,149,20,31,39.2,Matches
663,639,Mousa Dembélé,be BEL,MF,Tottenham,eng Premier League,30,1987,20.9,6,0,0,48,28,0,1,33,24,0,0,0,181,9,14,39.1,Matches
664,640,Ousmane Dembélé,fr FRA,"FW,MF",Barcelona,es La Liga,20,1997,10.3,2,0,0,10,18,3,45,5,7,0,1,0,37,1,5,16.7,Matches
665,641,Jessy Deminguet,fr FRA,"MF,FW",Caen,fr Ligue 1,19,1998,5.9,2,0,0,8,9,3,39,10,9,0,0,0,37,7,4,63.6,Matches
666,642,Kerem Demirbay,de GER,MF,Hoffenheim,de Bundesliga,24,1993,13.5,3,0,0,29,19,4,73,14,30,0,0,0,73,14,9,60.9,Matches
667,643,Ermedin Demirović,ba BIH,FW,Alavés,es La Liga,19,1998,2.0,0,0,0,5,3,2,0,0,1,0,0,0,2,4,10,28.6,Matches
668,644,Diego Demme,de GER,MF,RB Leipzig,de Bundesliga,25,1991,25.4,4,0,0,45,72,0,18,48,57,1,0,0,145,12,41,22.6,Matches
669,645,Fabio Depaoli,it ITA,"DF,MF",Chievo,it Serie A,20,1997,13.2,4,0,0,25,15,1,27,15,22,0,1,0,54,13,27,32.5,Matches
670,646,Mathieu Deplagne,fr FRA,DF,Troyes,fr Ligue 1,25,1991,26.8,5,1,1,21,26,0,54,60,38,0,1,1,144,49,39,55.7,Matches
671,647,Laurent Depoitre,be BEL,FW,Huddersfield,eng Premier League,28,1988,20.2,1,0,0,28,16,6,3,11,8,1,0,0,65,126,142,47.0,Matches
672,648,Mike van der Hoorn,nl NED,DF,Swansea City,eng Premier League,24,1992,21.6,4,0,0,22,18,0,8,39,22,0,1,0,96,55,43,56.1,Matches
673,649,Gregory van der Wiel,nl NED,DF,Cagliari,it Serie A,29,1988,3.2,0,0,0,0,1,0,7,10,3,0,0,0,19,8,5,61.5,Matches
674,650,Daniele Dessena,it ITA,"MF,DF",Cagliari,it Serie A,30,1987,6.4,1,0,0,9,16,0,8,6,10,0,0,0,37,5,10,33.3,Matches
675,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
676,651,Mattia Destro,it ITA,FW,Bologna,it Serie A,26,1991,18.0,3,0,0,37,32,13,4,5,13,0,0,0,34,34,55,38.2,Matches
677,652,Gerard Deulofeu,es ESP,"FW,MF",Watford,eng Premier League,23,1994,4.8,0,0,0,3,5,1,15,4,3,1,0,0,24,0,6,0.0,Matches
678,653,Gerard Deulofeu,es ESP,"MF,FW",Barcelona,es La Liga,23,1994,5.6,1,0,0,11,5,4,16,8,5,0,0,0,38,2,5,28.6,Matches
679,654,Gianluca Di Chiara,it ITA,DF,Benevento,it Serie A,23,1993,11.2,3,0,0,15,4,1,35,11,19,0,1,0,50,3,7,30.0,Matches
680,655,Federico Di Francesco,it ITA,"FW,DF",Bologna,it Serie A,23,1994,17.7,4,0,0,24,29,4,39,16,13,0,0,0,74,5,9,35.7,Matches
681,656,Davide Di Gennaro,it ITA,MF,Lazio,it Serie A,29,1988,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
682,657,Ángel Di María,ar ARG,FW,Paris S-G,fr Ligue 1,29,1988,23.5,1,0,0,8,14,15,175,10,10,0,0,0,71,0,2,0.0,Matches
683,658,Franco Di Santo,ar ARG,"FW,MF",Schalke 04,de Bundesliga,28,1989,18.4,4,0,0,57,21,18,32,2,13,1,0,0,54,50,52,49.0,Matches
684,659,Cheick Diabaté,ml MLI,FW,Benevento,it Serie A,29,1988,7.4,1,2,1,15,9,6,0,0,1,0,0,0,8,24,42,36.4,Matches
685,660,Fousseni Diabaté,ml MLI,"MF,FW",Leicester City,eng Premier League,21,1995,6.5,1,0,0,1,14,1,10,8,6,0,0,0,33,14,11,56.0,Matches
686,661,Moussa Diaby,fr FRA,MF,Crotone,it Serie A,18,1999,0.8,0,0,0,2,0,0,4,1,0,0,0,0,3,0,2,0.0,Matches
687,662,Fallou Diagne,sn SEN,"DF,MF",Metz,fr Ligue 1,27,1989,24.9,8,2,0,29,5,2,2,46,20,0,0,0,163,62,30,67.4,Matches
688,663,Adama Diakhaby,fr FRA,FW,Monaco,fr Ligue 1,21,1996,9.4,2,1,0,15,14,10,20,13,15,0,0,0,39,15,27,35.7,Matches
689,664,Mouctar Diakhaby,gn GUI,DF,Lyon,fr Ligue 1,20,1996,8.1,2,0,0,6,7,0,0,12,6,0,0,0,51,21,13,61.8,Matches
690,665,Abdou Diallo,sn SEN,DF,Mainz 05,de Bundesliga,21,1996,26.8,5,0,0,59,9,5,24,50,53,0,1,0,110,75,38,66.4,Matches
691,666,Abdoulaye Diallo,sn SEN,GK,Rennes,fr Ligue 1,25,1992,3.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.0,Matches
692,667,Habib Diallo,sn SEN,"FW,MF",Metz,fr Ligue 1,22,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
693,668,Mustapha Diallo,sn SEN,MF,Guingamp,fr Ligue 1,31,1986,15.4,6,0,0,49,39,5,1,20,36,0,2,0,100,72,63,53.3,Matches
694,669,Mohamed Diamé,sn SEN,MF,Newcastle Utd,eng Premier League,30,1987,22.7,3,0,0,44,16,0,6,48,64,0,0,0,141,57,55,50.9,Matches
695,670,Lassana Diarra,fr FRA,MF,Paris S-G,fr Ligue 1,32,1985,6.7,4,0,0,22,4,0,0,6,4,0,0,0,38,10,12,45.5,Matches
696,671,Amadou Diawara,gn GUI,MF,Napoli,it Serie A,20,1997,7.3,1,0,0,12,4,0,5,9,9,0,0,0,65,2,4,33.3,Matches
697,672,Brahim Díaz,es ESP,"FW,DF",Manchester City,eng Premier League,17,1999,0.6,0,0,0,1,4,0,1,1,0,0,0,0,8,0,3,0.0,Matches
698,673,Bakaye Dibassy,ml MLI,DF,Amiens,fr Ligue 1,27,1989,30.9,4,0,0,33,23,4,36,58,51,0,1,0,193,39,54,41.9,Matches
699,674,Daniel Didavi,de GER,MF,Wolfsburg,de Bundesliga,27,1990,24.9,4,0,0,37,48,7,95,7,19,1,0,0,90,15,36,29.4,Matches
700,675,Thomas Didillon,fr FRA,GK,Metz,fr Ligue 1,21,1995,9.0,0,0,0,0,2,0,0,0,0,0,0,0,8,1,0,100.0,Matches
701,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
702,676,Étienne Didot,fr FRA,MF,Guingamp,fr Ligue 1,34,1983,18.0,4,0,0,26,18,1,28,19,33,0,0,0,114,20,18,52.6,Matches
703,677,Adrián Diéguez,es ESP,DF,Alavés,es La Liga,21,1996,4.8,5,0,0,17,1,0,1,11,5,0,1,0,30,3,5,37.5,Matches
704,678,Dennis Diekmeier,de GER,DF,Hamburger SV,de Bundesliga,27,1989,20.8,4,0,0,18,33,5,86,16,43,0,1,0,62,32,17,65.3,Matches
705,679,Eric Dier,eng ENG,"MF,DF",Tottenham,eng Premier League,23,1994,31.4,4,0,0,23,8,1,26,48,43,0,0,0,170,81,61,57.0,Matches
706,680,Lucas Digne,fr FRA,DF,Barcelona,es La Liga,24,1993,7.8,2,0,0,12,7,2,15,12,17,0,1,0,58,9,7,56.3,Matches
707,681,Landry Dimata,be BEL,FW,Wolfsburg,de Bundesliga,19,1997,10.0,1,1,1,25,40,1,8,2,6,1,0,0,28,16,36,30.8,Matches
708,682,Tristan Dingomé,cm CMR,MF,Troyes,fr Ligue 1,26,1991,13.2,4,0,0,15,8,1,21,12,20,0,0,0,88,7,10,41.2,Matches
709,683,Ismaël Diomandé,ci CIV,"DF,MF",Caen,fr Ligue 1,24,1992,7.9,1,1,0,9,2,0,2,5,8,0,1,0,51,7,7,50.0,Matches
710,684,Lois Diony,fr FRA,FW,Saint-Étienne,fr Ligue 1,24,1992,10.3,0,0,0,11,17,6,7,1,0,3,0,0,25,12,31,27.9,Matches
711,685,Issa Diop,fr FRA,DF,Toulouse,fr Ligue 1,20,1997,34.0,8,0,0,31,24,1,2,76,43,0,0,1,200,57,36,61.3,Matches
712,686,Papakouli Diop,sn SEN,MF,Espanyol,es La Liga,31,1986,2.9,2,0,0,11,5,0,0,6,3,0,0,0,18,4,3,57.1,Matches
713,687,Papakouli Diop,sn SEN,MF,Eibar,es La Liga,31,1986,10.4,5,0,0,25,21,0,5,13,20,0,0,0,69,29,29,50.0,Matches
714,688,Assane Dioussé,sn SEN,MF,Saint-Étienne,fr Ligue 1,19,1997,14.9,4,0,0,26,15,2,10,11,21,0,0,0,121,10,15,40.0,Matches
715,689,Djené,tg TOG,DF,Getafe,es La Liga,25,1991,36.0,9,0,0,52,26,1,10,78,65,1,1,0,245,70,52,57.4,Matches
716,690,Koffi Djidji,ci CIV,DF,Nantes,fr Ligue 1,24,1992,26.8,2,0,0,24,9,0,21,45,39,0,0,0,130,37,19,66.1,Matches
717,691,Alexander Djiku,gh GHA,DF,Caen,fr Ligue 1,22,1994,28.0,10,0,0,43,39,0,5,57,43,0,0,0,187,81,48,62.8,Matches
718,692,Papy Djilobodji,sn SEN,DF,Dijon,fr Ligue 1,28,1988,30.0,4,1,0,25,28,0,5,71,29,0,2,0,194,87,30,74.4,Matches
719,693,Berat Djimsiti,al ALB,DF,Benevento,it Serie A,24,1993,30.0,2,0,0,24,22,0,1,62,17,0,3,0,164,60,32,65.2,Matches
720,694,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,25,1992,36.0,1,0,0,0,5,0,0,2,4,0,0,0,80,13,1,92.9,Matches
721,695,Keagan Dolly,za RSA,"MF,FW",Montpellier,fr Ligue 1,24,1993,9.8,1,0,0,3,2,2,64,1,7,0,0,0,49,6,12,33.3,Matches
722,696,Jaume Doménech,es ESP,GK,Valencia,es La Liga,26,1990,5.0,2,0,0,0,1,0,0,0,0,0,0,0,10,1,0,100.0,Matches
723,697,Jean-Luc Dompé,fr FRA,FW,Amiens,fr Ligue 1,21,1995,0.3,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,,Matches
724,698,Giulio Donati,it ITA,"DF,FW",Mainz 05,de Bundesliga,27,1990,25.4,3,2,1,20,44,0,69,35,42,0,1,0,83,25,20,55.6,Matches
725,699,Ji Dong-won,kr KOR,"FW,MF",Augsburg,de Bundesliga,26,1991,0.2,0,0,0,2,0,0,1,1,1,0,0,0,1,0,1,0.0,Matches
726,700,Anastasios Donis,gr GRE,"MF,FW",Stuttgart,de Bundesliga,20,1996,10.5,1,0,0,18,15,3,41,9,14,0,0,0,40,9,16,36.0,Matches
727,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
728,701,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,18,1999,38.0,2,0,0,0,3,0,0,1,0,0,0,1,69,3,0,100.0,Matches
729,702,Godfred Donsah,gh GHA,MF,Bologna,it Serie A,21,1996,19.9,3,0,0,19,12,3,5,22,20,0,0,0,110,17,33,34.0,Matches
730,703,Dória,br BRA,DF,Marseille,fr Ligue 1,22,1994,0.9,0,0,0,0,0,0,1,1,2,0,0,0,2,1,4,20.0,Matches
731,704,Niklas Dorsch,de GER,MF,Bayern Munich,de Bundesliga,19,1998,1.0,0,0,0,2,0,0,0,1,1,0,0,0,7,0,1,0.0,Matches
732,705,Gabriel Dos Santos,br BRA,DF,Troyes,fr Ligue 1,19,1997,0.9,1,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0.0,Matches
733,706,Mauro dos Santos,ar ARG,DF,Leganés,es La Liga,28,1989,10.9,3,0,0,9,3,2,3,12,14,0,0,0,35,21,13,61.8,Matches
734,707,Mathieu Dossevi,tg TOG,"FW,MF",Metz,fr Ligue 1,29,1988,27.9,2,0,0,27,37,7,245,28,25,0,0,0,147,11,22,33.3,Matches
735,708,Abdoulaye Doucouré,ml MLI,MF,Watford,eng Premier League,24,1993,36.9,10,0,0,44,26,2,26,54,52,0,1,0,345,42,51,45.2,Matches
736,709,Cheick Doukouré,ci CIV,MF,Levante,es La Liga,24,1992,11.4,4,0,0,34,10,0,4,14,19,0,0,0,71,15,20,42.9,Matches
737,710,Mohamed Dräger,tn TUN,"MF,FW",Freiburg,de Bundesliga,21,1996,0.6,0,0,0,2,1,0,0,0,0,0,0,0,4,0,0,,Matches
738,711,Aleksandar Dragović,at AUT,DF,Leicester City,eng Premier League,26,1991,8.5,2,0,0,7,3,0,1,16,10,0,0,0,50,13,9,59.1,Matches
739,712,Aleksandar Dragović,at AUT,DF,Leverkusen,de Bundesliga,26,1991,0.5,0,0,0,1,1,0,0,0,0,0,0,0,3,1,2,33.3,Matches
740,713,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,19,1997,2.4,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,100.0,Matches
741,714,Boukary Dramé,sn SEN,"DF,MF",SPAL,it Serie A,32,1985,1.1,0,0,0,0,1,0,2,2,1,0,0,0,9,2,0,100.0,Matches
742,715,Julian Draxler,de GER,"MF,FW",Paris S-G,fr Ligue 1,23,1993,18.9,1,0,0,14,10,2,25,28,14,0,0,0,108,10,9,52.6,Matches
743,716,Danny Drinkwater,eng ENG,MF,Chelsea,eng Premier League,27,1990,5.9,0,0,0,10,4,0,2,8,10,0,0,0,37,0,3,0.0,Matches
744,717,Josip Drmić,ch SUI,"FW,MF",M'Gladbach,de Bundesliga,24,1992,5.2,1,0,0,4,7,4,1,0,0,0,0,0,10,17,20,45.9,Matches
745,718,Rick van Drongelen,nl NED,DF,Hamburger SV,de Bundesliga,18,1998,16.0,4,0,0,11,6,0,5,19,25,0,0,1,73,30,37,44.8,Matches
746,719,Óscar Duarte,cr CRC,DF,Espanyol,es La Liga,28,1989,11.0,1,0,0,8,6,0,1,9,9,0,0,0,33,32,14,69.6,Matches
747,720,Rubén Duarte,es ESP,DF,Alavés,es La Liga,21,1995,23.8,9,1,1,47,35,1,54,44,40,0,2,0,110,25,23,52.1,Matches
748,721,Leo Dubois,fr FRA,DF,Nantes,fr Ligue 1,22,1994,33.6,5,0,0,24,30,2,251,50,39,1,1,0,228,34,35,49.3,Matches
749,722,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,28,1989,12.0,0,0,0,0,2,0,0,0,0,0,0,0,11,2,0,100.0,Matches
750,723,Ondrej Duda,sk SVK,MF,Hertha BSC,de Bundesliga,22,1994,8.3,3,0,0,23,17,1,6,4,12,0,0,0,38,13,26,33.3,Matches
751,724,Shane Duffy,ie IRL,DF,Brighton,eng Premier League,25,1992,36.6,8,0,0,33,25,7,3,50,19,1,1,0,162,192,89,68.3,Matches
752,725,Paul Dummett,wls WAL,DF,Newcastle Utd,eng Premier League,25,1991,17.8,1,0,0,8,11,0,22,23,19,0,1,0,73,54,34,61.4,Matches
753,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
754,726,Alfred Duncan,gh GHA,MF,Sassuolo,it Serie A,24,1993,21.6,4,0,0,40,16,4,74,19,29,0,0,0,144,14,23,37.8,Matches
755,727,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,25,1991,38.0,7,0,0,36,17,0,7,71,33,0,0,4,252,120,73,62.2,Matches
756,728,Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,24,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
757,729,Jimmy Durmaz,se SWE,"MF,FW",Toulouse,fr Ligue 1,28,1989,11.4,5,0,0,24,14,0,60,14,9,1,0,0,65,10,8,55.6,Matches
758,730,Riza Durmisi,dk DEN,DF,Betis,es La Liga,23,1994,23.1,4,0,0,15,10,2,68,15,21,0,0,0,89,6,16,27.3,Matches
759,731,Hugo Duro,es ESP,FW,Getafe,es La Liga,17,1999,0.2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,4,0.0,Matches
760,732,Noë Dussenne,be BEL,FW,Crotone,it Serie A,25,1992,0.9,1,0,0,3,0,0,0,1,0,0,0,0,2,0,3,0.0,Matches
761,733,Paulo Dybala,ar ARG,"MF,FW",Juventus,it Serie A,23,1993,26.1,0,0,0,16,74,2,92,12,11,1,0,0,124,6,9,40.0,Matches
762,734,Nathan Dyer,eng ENG,"MF,FW",Swansea City,eng Premier League,29,1987,14.5,2,0,0,17,20,1,33,11,16,0,0,0,82,5,26,16.1,Matches
763,735,Edin Džeko,ba BIH,FW,Roma,it Serie A,31,1986,33.5,6,0,0,37,28,19,19,4,10,1,0,0,80,109,64,63.0,Matches
764,736,Blerim Džemaili,ch SUI,"MF,FW",Bologna,it Serie A,31,1986,13.3,4,0,0,13,19,1,10,18,19,0,0,0,69,9,6,60.0,Matches
